file,backend,seq_len,head_dim,block_n,num_warps,num_splits,length_pattern,effective_min_seq_len,effective_max_seq_len,paged_layout,latency_ms,measured_achieved_bandwidth_gbps,measured_dram_throughput_pct,measured_occupancy_pct,measured_registers_per_thread,measured_theoretical_occupancy_pct,profiler_error,matrix_block_n,matrix_num_warps,matrix_num_splits
results/profile_matrix/paged/triton_paged_s2048_d128_bn64_nw4_lenuniform_layoutcontiguous.json,triton_paged,2048,128,64.0,4.0,,uniform,2048,2048,contiguous,0.37564416885375973,680.7658903219819,43.78036435619065,25.63598929819678,96.0,31.25,,64,4,unused
results/profile_matrix/paged/triton_paged_s2048_d128_bn64_nw4_lenuniform_layoutshuffled.json,triton_paged,2048,128,64.0,4.0,,uniform,2048,2048,shuffled,0.3662745475769043,678.8943520774855,43.6582675283013,25.696088867639347,96.0,31.25,,64,4,unused
results/profile_matrix/paged/triton_paged_s2048_d128_bn64_nw4_lendescending_layoutcontiguous.json,triton_paged,2048,128,64.0,4.0,,descending,512,2048,contiguous,0.30097408294677735,472.5881762185324,30.393317320567757,26.20198982324585,96.0,31.25,,64,4,unused
results/profile_matrix/paged/triton_paged_s2048_d128_bn64_nw4_lendescending_layoutshuffled.json,triton_paged,2048,128,64.0,4.0,,descending,512,2048,shuffled,0.38156288146972656,471.2563092535719,30.305761783949794,26.264003204700227,96.0,31.25,,64,4,unused
results/profile_matrix/paged/triton_paged_s2048_d128_bn128_nw4_lenuniform_layoutcontiguous.json,triton_paged,2048,128,128.0,4.0,,uniform,2048,2048,contiguous,0.3549593734741211,790.8544229905702,50.8602421194432,15.521964256847777,168.0,18.75,,128,4,unused
results/profile_matrix/paged/triton_paged_s2048_d128_bn128_nw4_lenuniform_layoutshuffled.json,triton_paged,2048,128,128.0,4.0,,uniform,2048,2048,shuffled,0.30275583267211914,784.9675360561924,50.48236232685005,15.530047242971493,168.0,18.75,,128,4,unused
results/profile_matrix/paged/triton_paged_s2048_d128_bn128_nw4_lendescending_layoutcontiguous.json,triton_paged,2048,128,128.0,4.0,,descending,512,2048,contiguous,0.2694348812103271,529.7438955778102,34.06985334383556,15.56797456959604,168.0,18.75,,128,4,unused
results/profile_matrix/paged/triton_paged_s2048_d128_bn128_nw4_lendescending_layoutshuffled.json,triton_paged,2048,128,128.0,4.0,,descending,512,2048,shuffled,0.3360563278198242,525.2777684797768,33.78269604834961,15.592006880520687,168.0,18.75,,128,4,unused
results/profile_matrix/paged/triton_paged_s4096_d128_bn64_nw4_lenuniform_layoutcontiguous.json,triton_paged,4096,128,64.0,4.0,,uniform,4096,4096,contiguous,0.6479974365234376,681.944822462995,43.849635995795694,25.71798707097529,96.0,31.25,,64,4,unused
results/profile_matrix/paged/triton_paged_s4096_d128_bn64_nw4_lenuniform_layoutshuffled.json,triton_paged,4096,128,64.0,4.0,,uniform,4096,4096,shuffled,0.6559743881225586,681.4388139697068,43.82054075020177,25.74400191194101,96.0,31.25,,64,4,unused
results/profile_matrix/paged/triton_paged_s4096_d128_bn64_nw4_lendescending_layoutcontiguous.json,triton_paged,4096,128,64.0,4.0,,descending,1024,4096,contiguous,0.5914112091064453,466.66816855255746,30.007735053675354,26.256009250251736,96.0,31.25,,64,4,unused
results/profile_matrix/paged/triton_paged_s4096_d128_bn64_nw4_lendescending_layoutshuffled.json,triton_paged,4096,128,64.0,4.0,,descending,1024,4096,shuffled,0.5941657638549804,465.6306311675706,29.941956423639194,26.32793706204395,96.0,31.25,,64,4,unused
results/profile_matrix/paged/triton_paged_s4096_d128_bn128_nw4_lenuniform_layoutcontiguous.json,triton_paged,4096,128,128.0,4.0,,uniform,4096,4096,contiguous,0.561786880493164,789.8703305353923,50.79451023826741,15.511987972209763,168.0,18.75,,128,4,unused
results/profile_matrix/paged/triton_paged_s4096_d128_bn128_nw4_lenuniform_layoutshuffled.json,triton_paged,4096,128,128.0,4.0,,uniform,4096,4096,shuffled,0.566927375793457,794.2164895113782,51.071843110913434,15.511958208901031,168.0,18.75,,128,4,unused
results/profile_matrix/paged/triton_paged_s4096_d128_bn128_nw4_lendescending_layoutcontiguous.json,triton_paged,4096,128,128.0,4.0,,descending,1024,4096,contiguous,0.527513599395752,522.0433840721478,33.570585579997136,15.555983967170874,168.0,18.75,,128,4,unused
results/profile_matrix/paged/triton_paged_s4096_d128_bn128_nw4_lendescending_layoutshuffled.json,triton_paged,4096,128,128.0,4.0,,descending,1024,4096,shuffled,0.5319475173950196,520.4149884418907,33.46498073648462,15.562004737397857,168.0,18.75,,128,4,unused
